"short_name","age","height_cm","weight_kg","overall","potential","value_eur","wage_eur","release_clause_eur","club_name","league_name","club_position","nationality_name","preferred_foot","gender","eficiencia_salarial","indice_proyeccion","gap_mercado","general_position","overall_tier"
"Gustavo Lobateiro",23,180,76,72,72,2700000,16000,5100000,"Internacional","Serie A","LS","Brazil","Left","Male",0.00449971876757703,0,2400000,"Delantero","Bajo (<75)"
"Evandro Rochedo",27,187,82,72,72,2500000,26000,4500000,"Atlético Mineiro","Serie A","SUB","Brazil","Right","Male",0.00276912426445137,0,2e+06,"Otros","Bajo (<75)"
"André Milazisco",27,188,85,72,72,1800000,19000,3400000,"São Paulo","Serie A","GK","Brazil","Left","Male",0.00378927424872375,0,1600000,"Portero","Bajo (<75)"
"Alminho Boas",27,180,75,72,72,2200000,22000,4000000,"Atlético Mineiro","Serie A","SUB","Brazil","Right","Male",0.00327257851915822,0,1800000,"Otros","Bajo (<75)"
"Flávio Rebeilo",31,175,69,72,72,1700000,17000,3200000,"Santos","Serie A","LB","Brazil","Left","Male",0.0042350449973531,0,1500000,"Defensa","Bajo (<75)"
"Tony Muttinho",27,183,80,72,72,2300000,10000,4400000,"Fortaleza","Serie A","RM","Brazil","Right","Male",0.0071992800719928,0,2100000,"Centrocampista","Bajo (<75)"
"Jenaro Kaio",39,174,74,72,72,750000,11000,1400000,"Botafogo","Serie A","CAM","Brazil","Left","Male",0.00654485955822198,0,650000,"Centrocampista","Bajo (<75)"
"Édundo Oliveira",31,183,79,72,72,1600000,12000,3000000,"Bragantino","Serie A","SUB","Brazil","Right","Male",0.0059995000416632,0,1400000,"Otros","Bajo (<75)"
"Igor Madinha",27,174,70,72,72,2500000,25000,4800000,"São Paulo","Serie A","RM","Brazil","Right","Male",0.00287988480460782,0,2300000,"Centrocampista","Bajo (<75)"
"Timo Triano",27,176,76,72,72,2200000,18000,4200000,"Corinthians","Serie A","RCM","Brazil","Right","Male",0.00399977779012277,0,2e+06,"Centrocampista","Bajo (<75)"
"Calegarcinho",39,175,75,72,72,8e+05,8000,1500000,"Fortaleza","Serie A","ST","Brazil","Right","Male",0.00899887514060742,0,7e+05,"Delantero","Bajo (<75)"
"Leordinho Paes",23,180,69,72,72,2700000,16000,5100000,"Santos","Serie A","SUB","Brazil","Left","Male",0.00449971876757703,0,2400000,"Otros","Bajo (<75)"
"Alam Basteirinho",31,183,74,72,72,1900000,19000,3600000,"Santos","Serie A","RM","Brazil","Left","Male",0.00378927424872375,0,1700000,"Centrocampista","Bajo (<75)"
"Fábio Melitinho",27,170,67,72,72,2500000,17000,4800000,"Fluminense","Serie A","LM","Brazil","Right","Male",0.0042350449973531,0,2300000,"Centrocampista","Bajo (<75)"
"Dersan Dinis",31,176,70,72,72,1900000,27000,3400000,"Palmeiras","Serie A","SUB","Brazil","Right","Male",0.00266656790489241,0,1500000,"Otros","Bajo (<75)"
"Hélton Celanova",31,180,92,72,72,2e+06,21000,3800000,"Internacional","Serie A","RS","Brazil","Left","Male",0.00342840817103947,0,1800000,"Delantero","Bajo (<75)"
"Gérson Noalha",31,178,76,72,72,2e+06,27000,3600000,"Palmeiras","Serie A","SUB","Brazil","Left","Male",0.00266656790489241,0,1600000,"Otros","Bajo (<75)"
"Jadson Vidigal",31,175,70,72,72,2e+06,18000,3800000,"Botafogo","Serie A","SUB","Brazil","Right","Male",0.00399977779012277,0,1800000,"Otros","Bajo (<75)"
"Vicemte Tófoli",27,172,67,72,72,2500000,14000,4800000,"Bragantino","Serie A","LM","Brazil","Left","Male",0.00514248982215556,0,2300000,"Centrocampista","Bajo (<75)"
"Leandro Vivenço",23,174,69,72,72,2700000,12000,5100000,"Bragantino","Serie A","SUB","Brazil","Right","Male",0.0059995000416632,0,2400000,"Otros","Bajo (<75)"
"João Bruinheira",35,188,83,72,72,250000,6000,475000,"América Mineiro","Serie A","GK","Brazil","Right","Male",0.0119980003332778,0,225000,"Portero","Bajo (<75)"
"Hugo Rubiães",27,175,75,72,72,2200000,15000,4200000,"Fluminense","Serie A","LDM","Brazil","Right","Male",0.00479968002133191,0,2e+06,"Otros","Bajo (<75)"
"João Nunes",27,186,78,72,72,2200000,6000,4600000,"Casa Pia","Liga Portugal","SUB","Portugal","Right","Male",0.0119980003332778,0,2400000,"Otros","Bajo (<75)"
"O. El Hajjam",32,181,72,72,72,1600000,13000,3200000,"Le Havre","Ligue 1","SUB","Morocco","Right","Male",0.00553803553572802,0,1600000,"Otros","Bajo (<75)"
"F. Stojković",30,180,76,72,72,2e+06,15000,3000000,"LASK Linz","Bundesliga","RB","Montenegro","Right","Male",0.00479968002133191,0,1e+06,"Defensa","Bajo (<75)"
"Y. Salmier",30,188,85,72,72,1900000,13000,3800000,"Le Havre","Ligue 1","RCB","France","Right","Male",0.00553803553572802,0,1900000,"Defensa","Bajo (<75)"
"João Bardinho",27,177,71,72,72,2300000,12000,4400000,"América Mineiro","Serie A","LB","Brazil","Left","Male",0.0059995000416632,0,2100000,"Defensa","Bajo (<75)"
"M. Murillo",27,184,84,72,72,2300000,23000,4400000,"Olympique de Marseille","Ligue 1","SUB","Panama","Right","Male",0.00313029868266597,0,2100000,"Otros","Bajo (<75)"
"E. Shomurodov",28,190,76,72,72,2400000,42000,NA,"Cagliari","Serie A","SUB","Uzbekistan","Right","Male",0.00171424489893098,0,NA,"Otros","Bajo (<75)"
"Mateus Quaresma",26,181,76,72,72,2300000,6000,4800000,"Arouca","Liga Portugal","LB","Brazil","Left","Male",0.0119980003332778,0,2500000,"Defensa","Bajo (<75)"
"J. Bynoe-Gittens",18,177,74,71,86,4400000,9000,10200000,"Borussia Dortmund","Bundesliga","SUB","England","Right","Male",0.00788801244306188,0.833333333333333,5800000,"Otros","Bajo (<75)"
"M. Tel",18,183,77,71,86,4400000,14000,10000000,"FC Bayern München","Bundesliga","SUB","France","Right","Male",0.0050710663524034,0.833333333333333,5600000,"Otros","Bajo (<75)"
"D. Doué",18,181,79,71,86,4400000,9000,11100000,"Rennes","Ligue 1","SUB","France","Right","Male",0.00788801244306188,0.833333333333333,6700000,"Otros","Bajo (<75)"
"M. Soulé",20,176,69,71,85,4500000,41000,NA,"Frosinone","Serie A","SUB","Argentina","Left","Male",0.00173166508133948,0.7,NA,"Otros","Bajo (<75)"
"Henrique Araújo",21,182,72,71,85,4600000,7000,NA,"Famalicão","Liga Portugal","SUB","Portugal","Right","Male",0.0101414083702328,0.666666666666667,NA,"Otros","Bajo (<75)"
"Sávio",19,176,71,71,85,4400000,3000,NA,"Girona","La Liga","SUB","Brazil","Left","Male",0.0236587804065312,0.736842105263158,NA,"Otros","Bajo (<75)"
"S. Iling-Junior",19,182,75,71,85,4400000,28000,10200000,"Juventus","Serie A","SUB","England","Left","Male",0.00253562372772401,0.736842105263158,5800000,"Otros","Bajo (<75)"
"J. Trafford",20,192,90,71,84,4e+06,14000,10500000,"Burnley","Premier League","GK","England","Right","Male",0.0050710663524034,0.65,6500000,"Portero","Bajo (<75)"
"L. Costa",22,188,87,71,83,4300000,12000,9500000,"Toulouse","Ligue 1","RCB","Cape Verde Islands","Right","Male",0.00591617365219565,0.545454545454545,5200000,"Defensa","Bajo (<75)"
"R. Pepi",20,185,74,71,83,4500000,9000,7200000,"PSV","Eredivisie","SUB","United States","Right","Male",0.00788801244306188,0.6,2700000,"Otros","Bajo (<75)"
"Pacheco",22,184,77,71,83,4300000,15000,9900000,"Real Sociedad","La Liga","SUB","Spain","Left","Male",0.00473301779881341,0.545454545454545,5600000,"Otros","Bajo (<75)"
"L. Pirola",21,185,79,71,83,4300000,13000,8600000,"Salernitana","Serie A","LCB","Italy","Left","Male",0.00546111837550958,0.571428571428571,4300000,"Defensa","Bajo (<75)"
"M. Perrone",20,178,64,71,83,4500000,43000,NA,"Las Palmas","La Liga","SUB","Argentina","Left","Male",0.00165112439245599,0.6,NA,"Otros","Bajo (<75)"
"S. Kumbedi",18,175,63,71,83,4200000,6000,8800000,"Olympique Lyonnais","Ligue 1","SUB","France","Right","Male",0.01183136143976,0.666666666666667,4600000,"Otros","Bajo (<75)"
"G. Ávila",21,182,75,71,82,4e+06,7000,6400000,"Ajax","Eredivisie","LB","Argentina","Left","Male",0.0101414083702328,0.523809523809524,2400000,"Defensa","Bajo (<75)"
"F. Pellistri",21,175,65,71,82,4200000,45000,8800000,"Manchester United","Premier League","SUB","Uruguay","Right","Male",0.00157774271682851,0.523809523809524,4600000,"Otros","Bajo (<75)"
"K. Saito",21,170,59,71,82,4200000,6000,6900000,"Sparta Rotterdam","Eredivisie","LM","Japan","Right","Male",0.01183136143976,0.523809523809524,2700000,"Centrocampista","Bajo (<75)"
"B. Soppy",21,181,80,71,82,4e+06,17000,NA,"Torino","Serie A","RES","France","Right","Male",0.00417622492794542,0.523809523809524,NA,"Otros","Bajo (<75)"
"M. John",21,184,73,71,82,4e+06,13000,7600000,"TSG Hoffenheim","Bundesliga","SUB","Germany","Left","Male",0.00546111837550958,0.523809523809524,3600000,"Otros","Bajo (<75)"
"Jesús Vázquez",20,172,73,71,82,3900000,13000,9000000,"Valencia","La Liga","SUB","Spain","Left","Male",0.00546111837550958,0.55,5100000,"Otros","Bajo (<75)"
"Kaio Jorge",21,182,71,71,82,4200000,41000,NA,"Frosinone","Serie A","SUB","Brazil","Right","Male",0.00173166508133948,0.523809523809524,NA,"Otros","Bajo (<75)"
"Ilias",19,175,70,71,82,4e+06,12000,9200000,"Villarreal","La Liga","RES","Spain","Left","Male",0.00591617365219565,0.578947368421053,5200000,"Otros","Bajo (<75)"
"A. Zanoli",22,188,76,71,82,4e+06,22000,7600000,"Napoli","Serie A","RES","Italy","Right","Male",0.00322712603972547,0.5,3600000,"Otros","Bajo (<75)"
"L. Yoro",17,190,73,71,82,3600000,850,7600000,"Lille","Ligue 1","SUB","France","Right","Male",0.0834312573443008,0.647058823529412,4e+06,"Otros","Bajo (<75)"
"L. Cacace",22,184,81,71,81,4e+06,6000,8000000,"Empoli","Serie A","LB","New Zealand","Left","Male",0.01183136143976,0.454545454545455,4e+06,"Defensa","Bajo (<75)"
"M. Diarra",22,185,73,71,81,4e+06,12000,8800000,"Toulouse","Ligue 1","SUB","Mali","Left","Male",0.00591617365219565,0.454545454545455,4800000,"Otros","Bajo (<75)"
"R. Calafiori",21,188,86,71,81,4e+06,13000,8000000,"Bologna","Serie A","SUB","Italy","Left","Male",0.00546111837550958,0.476190476190476,4e+06,"Otros","Bajo (<75)"
"D. Ndoye",22,184,79,71,81,4200000,17000,8400000,"Bologna","Serie A","SUB","Switzerland","Right","Male",0.00417622492794542,0.454545454545455,4200000,"Otros","Bajo (<75)"
"M. Manhoef",21,179,68,71,81,4200000,7000,6900000,"Vitesse","Eredivisie","RM","Netherlands","Left","Male",0.0101414083702328,0.476190476190476,2700000,"Centrocampista","Bajo (<75)"
"Arribas",21,173,66,71,81,4200000,12000,9700000,"Almería","La Liga","CAM","Spain","Left","Male",0.00591617365219565,0.476190476190476,5500000,"Centrocampista","Bajo (<75)"
"J. Gorter",23,190,83,71,81,3600000,6000,5800000,"Ajax","Eredivisie","GK","Netherlands","Right","Male",0.01183136143976,0.434782608695652,2200000,"Portero","Bajo (<75)"
"Diego López",21,172,63,71,81,4200000,15000,9700000,"Valencia","La Liga","LM","Spain","Right","Male",0.00473301779881341,0.476190476190476,5500000,"Centrocampista","Bajo (<75)"
"Marquinhos",20,174,77,71,81,4100000,43000,NA,"Nantes","Ligue 1","SUB","Brazil","Left","Male",0.00165112439245599,0.5,NA,"Otros","Bajo (<75)"
"Tiago Santos",20,175,71,71,81,3900000,13000,8200000,"Lille","Ligue 1","RB","Portugal","Right","Male",0.00546111837550958,0.5,4300000,"Defensa","Bajo (<75)"
"L. Banda",22,162,69,71,81,4200000,11000,8400000,"Lecce","Serie A","SUB","Zambia","Right","Male",0.00645395873102445,0.454545454545455,4200000,"Otros","Bajo (<75)"
"D. Loader",22,182,76,71,80,4200000,8000,9200000,"Porto","Liga Portugal","RES","England","Right","Male",0.00887389076365454,0.409090909090909,5e+06,"Otros","Bajo (<75)"
"H. Massengo",21,175,70,71,80,4e+06,18000,8800000,"Burnley","Premier League","RES","France","Right","Male",0.00394422532081551,0.428571428571429,4800000,"Otros","Bajo (<75)"
"L. Agoumé",21,188,72,71,80,4e+06,25000,7600000,"Inter","Serie A","RES","France","Right","Male",0.00283988640454382,0.428571428571429,3600000,"Otros","Bajo (<75)"
"B. Teixeira",22,174,73,71,80,4200000,11000,7100000,"Sturm Graz","Bundesliga","LS","Cape Verde Islands","Right","Male",0.00645395873102445,0.409090909090909,2900000,"Delantero","Bajo (<75)"
"E. Millot",20,174,66,71,80,4100000,12000,8200000,"VfB Stuttgart","Bundesliga","SUB","France","Left","Male",0.00591617365219565,0.45,4100000,"Otros","Bajo (<75)"
"N. Mbuku",21,170,68,71,80,4200000,14000,8400000,"FC Augsburg","Bundesliga","SUB","France","Left","Male",0.0050710663524034,0.428571428571429,4200000,"Otros","Bajo (<75)"
"N. Nkounkou",22,180,77,71,80,4e+06,17000,7600000,"Eintracht Frankfurt","Bundesliga","SUB","France","Left","Male",0.00417622492794542,0.409090909090909,3600000,"Otros","Bajo (<75)"
"E. Touré",21,185,72,71,80,4200000,22000,8000000,"Atalanta","Serie A","RES","Mali","Right","Male",0.00322712603972547,0.428571428571429,3800000,"Otros","Bajo (<75)"
"M. Lovato",23,188,78,71,80,3900000,15000,7800000,"Salernitana","Serie A","RCB","Italy","Right","Male",0.00473301779881341,0.391304347826087,3900000,"Defensa","Bajo (<75)"
"A. Martegani",23,183,74,71,80,4200000,9000,NA,"Salernitana","Serie A","SUB","Argentina","Left","Male",0.00788801244306188,0.391304347826087,NA,"Otros","Bajo (<75)"
"A. Sangante",21,189,76,71,80,3900000,8000,8600000,"Le Havre","Ligue 1","CB","Senegal","Right","Male",0.00887389076365454,0.428571428571429,4700000,"Defensa","Bajo (<75)"
"Pedro Malheiro",22,179,69,71,80,4e+06,8000,9200000,"Boavista","Liga Portugal","RB","Portugal","Right","Male",0.00887389076365454,0.409090909090909,5200000,"Defensa","Bajo (<75)"
"J. Rak-Sakyi",20,178,73,71,80,4100000,20000,8600000,"Crystal Palace","Premier League","SUB","England","Left","Male",0.00354982250887456,0.45,4500000,"Otros","Bajo (<75)"
"Pubill",20,190,82,71,80,3900000,11000,9000000,"Almería","La Liga","RB","Spain","Right","Male",0.00645395873102445,0.45,5100000,"Defensa","Bajo (<75)"
"D. Coppola",19,192,78,71,80,3800000,8000,7600000,"Hellas Verona","Serie A","SUB","Italy","Right","Male",0.00887389076365454,0.473684210526316,3800000,"Otros","Bajo (<75)"
"H. Smolčić",22,185,80,71,80,3900000,17000,7400000,"Eintracht Frankfurt","Bundesliga","RES","Croatia","Left","Male",0.00417622492794542,0.409090909090909,3500000,"Otros","Bajo (<75)"
"E. Ebosse",24,185,75,71,79,3900000,9000,7800000,"Udinese","Serie A","SUB","Cameroon","Left","Male",0.00788801244306188,0.333333333333333,3900000,"Otros","Bajo (<75)"
"Chumi",24,185,75,71,79,3900000,13000,9000000,"Almería","La Liga","SUB","Spain","Right","Male",0.00546111837550958,0.333333333333333,5100000,"Otros","Bajo (<75)"
"A. Gallo",23,182,73,71,79,4e+06,9000,8000000,"Lecce","Serie A","LB","Italy","Left","Male",0.00788801244306188,0.347826086956522,4e+06,"Defensa","Bajo (<75)"
"G. Gaetano",23,175,70,71,79,4200000,25000,8000000,"Napoli","Serie A","SUB","Italy","Right","Male",0.00283988640454382,0.347826086956522,3800000,"Otros","Bajo (<75)"
"N. Ngoumou",23,185,75,71,79,4200000,15000,8000000,"Borussia Mönchengladbach","Bundesliga","LM","France","Right","Male",0.00473301779881341,0.347826086956522,3800000,"Centrocampista","Bajo (<75)"
"M. Cham",22,180,67,71,79,4200000,11000,9200000,"Clermont","Ligue 1","RW","Austria","Left","Male",0.00645395873102445,0.363636363636364,5e+06,"Delantero","Bajo (<75)"
"O. Syrota",23,193,78,71,79,3900000,500,9400000,"Dynamo Kyiv","Premier League","RCB","Ukraine","Left","Male",0.141716566866267,0.347826086956522,5500000,"Defensa","Bajo (<75)"
"Lucas Pires",22,182,77,71,79,4e+06,14000,9200000,"Cádiz","La Liga","RES","Brazil","Left","Male",0.0050710663524034,0.363636363636364,5200000,"Otros","Bajo (<75)"
"E. Bohinen",24,189,81,71,78,3700000,17000,7400000,"Salernitana","Serie A","LCM","Norway","Left","Male",0.00417622492794542,0.291666666666667,3700000,"Centrocampista","Bajo (<75)"
"Miguel Rubio",25,191,86,71,78,3400000,11000,8200000,"Granada","La Liga","RCB","Spain","Right","Male",0.00645395873102445,0.28,4800000,"Defensa","Bajo (<75)"
"Vitinho",23,175,73,71,78,3600000,22000,7900000,"Burnley","Premier League","SUB","Brazil","Right","Male",0.00322712603972547,0.304347826086957,4300000,"Otros","Bajo (<75)"
"V. Supriaha",23,185,75,71,78,3800000,650,9100000,"Dynamo Kyiv","Premier League","RES","Ukraine","Right","Male",0.109062980030722,0.304347826086957,5300000,"Otros","Bajo (<75)"
"Mateu Morey",23,173,67,71,78,3600000,19000,6800000,"Borussia Dortmund","Bundesliga","RES","Spain","Right","Male",0.0037366454397137,0.304347826086957,3200000,"Otros","Bajo (<75)"
"Francisco Moura",23,182,66,71,78,3600000,5000,8300000,"Famalicão","Liga Portugal","LB","Portugal","Left","Male",0.0141971605678864,0.304347826086957,4700000,"Defensa","Bajo (<75)"
"Ricard",23,175,68,71,78,3600000,10000,8600000,"Granada","La Liga","RB","Spain","Right","Male",0.0070992900709929,0.304347826086957,5e+06,"Defensa","Bajo (<75)"
"J. Ngankam",22,184,84,71,78,3800000,21000,7200000,"Eintracht Frankfurt","Bundesliga","SUB","Germany","Right","Male",0.00338079139088615,0.318181818181818,3400000,"Otros","Bajo (<75)"
"J. van Hecke",23,185,78,71,78,3500000,33000,7400000,"Brighton & Hove Albion","Premier League","SUB","Netherlands","Right","Male",0.00215144995606194,0.304347826086957,3900000,"Otros","Bajo (<75)"
"I. Saibari",21,185,81,71,78,3800000,9000,6100000,"PSV","Eredivisie","RCM","Morocco","Right","Male",0.00788801244306188,0.333333333333333,2300000,"Centrocampista","Bajo (<75)"
"M. Svilar",23,189,77,71,77,2400000,20000,4600000,"Roma","Serie A","SUB","Serbia","Right","Male",0.00354982250887456,0.260869565217391,2200000,"Otros","Bajo (<75)"
"J. Hauge",23,184,75,71,77,3e+06,19000,5700000,"Eintracht Frankfurt","Bundesliga","SUB","Norway","Right","Male",0.0037366454397137,0.260869565217391,2700000,"Otros","Bajo (<75)"
"A. Zerbin",24,182,80,71,77,3e+06,27000,5700000,"Napoli","Serie A","SUB","Italy","Right","Male",0.00262953223954668,0.25,2700000,"Otros","Bajo (<75)"
"J. Opoku",24,194,79,71,77,2700000,5000,6200000,"Arouca","Liga Portugal","LCB","England","Left","Male",0.0141971605678864,0.25,3500000,"Defensa","Bajo (<75)"
"C. Cásseres Jr",23,175,68,71,77,2700000,12000,5900000,"Toulouse","Ligue 1","RDM","Venezuela","Right","Male",0.00591617365219565,0.260869565217391,3200000,"Otros","Bajo (<75)"
"Álex Domínguez",24,186,82,71,77,2400000,9000,5300000,"Toulouse","Ligue 1","SUB","Spain","Right","Male",0.00788801244306188,0.25,2900000,"Otros","Bajo (<75)"
"M. Kaufmann",22,190,82,71,77,3e+06,19000,5700000,"FC Union Berlin","Bundesliga","SUB","Denmark","Right","Male",0.0037366454397137,0.272727272727273,2700000,"Otros","Bajo (<75)"
"D. Bradarić",23,178,69,71,77,2800000,15000,5600000,"Salernitana","Serie A","LM","Croatia","Left","Male",0.00473301779881341,0.260869565217391,2800000,"Centrocampista","Bajo (<75)"
"M. Pieringer",23,191,83,71,77,3e+06,18000,6000000,"Heidenheim","Bundesliga","RS","Germany","Right","Male",0.00394422532081551,0.260869565217391,3e+06,"Delantero","Bajo (<75)"
"M. van Bergen",23,170,62,71,76,2800000,8000,4400000,"FC Twente","Eredivisie","SUB","Netherlands","Right","Male",0.00887389076365454,0.217391304347826,1600000,"Otros","Bajo (<75)"
"T. Chong",23,185,75,71,76,2800000,24000,5800000,"Luton Town","Premier League","RCM","Netherlands","Left","Male",0.00295821007458023,0.217391304347826,3e+06,"Centrocampista","Bajo (<75)"
"F. Buntić",26,194,90,71,76,2200000,3000,4700000,"Vizela","Liga Portugal","GK","Croatia","Left","Male",0.0236587804065312,0.192307692307692,2500000,"Portero","Bajo (<75)"
"M. Hongla",25,181,77,71,76,2700000,16000,5100000,"Hellas Verona","Serie A","LCM","Cameroon","Right","Male",0.0044372226735829,0.2,2400000,"Centrocampista","Bajo (<75)"
"A. Barkok",25,189,82,71,76,2800000,16000,5000000,"FSV Mainz 05","Bundesliga","SUB","Morocco","Right","Male",0.0044372226735829,0.2,2200000,"Otros","Bajo (<75)"
"H. Wolf",24,179,71,71,76,2800000,15000,5000000,"Borussia Mönchengladbach","Bundesliga","SUB","Austria","Left","Male",0.00473301779881341,0.208333333333333,2200000,"Otros","Bajo (<75)"
"K. Kouao",25,173,65,71,76,2600000,11000,5400000,"Metz","Ligue 1","SUB","Côte d'Ivoire","Right","Male",0.00645395873102445,0.2,2800000,"Otros","Bajo (<75)"
"N. Kühn",23,176,69,71,76,2800000,12000,4300000,"Rapid Wien","Bundesliga","RM","Germany","Left","Male",0.00591617365219565,0.217391304347826,1500000,"Centrocampista","Bajo (<75)"
"J. Deminguet",25,178,74,71,76,2700000,14000,5600000,"Strasbourg","Ligue 1","SUB","France","Left","Male",0.0050710663524034,0.2,2900000,"Otros","Bajo (<75)"
"M. Sagnan",24,187,77,71,76,2600000,9000,4100000,"FC Utrecht","Eredivisie","LCB","France","Left","Male",0.00788801244306188,0.208333333333333,1500000,"Defensa","Bajo (<75)"
"Gonzalo Villar",25,181,74,71,76,2700000,12000,6100000,"Granada","La Liga","SUB","Spain","Right","Male",0.00591617365219565,0.2,3400000,"Otros","Bajo (<75)"
"D. Schnegg",24,185,80,71,76,2600000,9000,4100000,"Sturm Graz","Bundesliga","LB","Austria","Left","Male",0.00788801244306188,0.208333333333333,1500000,"Defensa","Bajo (<75)"
"R. Nteka",25,189,75,71,76,2800000,13000,6100000,"Rayo Vallecano","La Liga","SUB","France","Left","Male",0.00546111837550958,0.2,3300000,"Otros","Bajo (<75)"
"Y. Keitel",23,186,85,71,76,2600000,13000,4600000,"SC Freiburg","Bundesliga","SUB","Germany","Right","Male",0.00546111837550958,0.217391304347826,2e+06,"Otros","Bajo (<75)"
"K. Fischer",22,182,77,71,76,2700000,20000,4800000,"VfL Wolfsburg","Bundesliga","SUB","Germany","Right","Male",0.00354982250887456,0.227272727272727,2100000,"Otros","Bajo (<75)"
"Fali Candé",25,184,82,71,76,2500000,11000,5200000,"Metz","Ligue 1","LCB","Guinea Bissau","Left","Male",0.00645395873102445,0.2,2700000,"Defensa","Bajo (<75)"
"Pep Chavarría",25,174,72,71,76,2600000,11000,5700000,"Rayo Vallecano","La Liga","SUB","Spain","Left","Male",0.00645395873102445,0.2,3100000,"Otros","Bajo (<75)"
"G. Caso",24,172,65,71,76,2800000,9000,5300000,"Frosinone","Serie A","LW","Italy","Right","Male",0.00788801244306188,0.208333333333333,2500000,"Delantero","Bajo (<75)"
"D. Greif",26,197,82,71,76,2200000,12000,4800000,"Mallorca","La Liga","SUB","Slovakia","Right","Male",0.00591617365219565,0.192307692307692,2600000,"Otros","Bajo (<75)"
"D. Riznyk",24,191,77,71,76,2300000,500,5200000,"Shakhtar Donetsk","Premier League","GK","Ukraine","Right","Male",0.141716566866267,0.208333333333333,2900000,"Portero","Bajo (<75)"
"M. Folorunsho",25,185,78,71,76,2700000,27000,NA,"Hellas Verona","Serie A","LF","Italy","Right","Male",0.00262953223954668,0.2,NA,"Delantero","Bajo (<75)"
"K. Davis",25,191,82,71,75,2600000,12000,4900000,"Udinese","Serie A","RES","England","Left","Male",0.00591617365219565,0.16,2300000,"Otros","Bajo (<75)"
"C. Awaziem",26,189,77,71,75,2300000,9000,5000000,"Boavista","Liga Portugal","SUB","Nigeria","Right","Male",0.00788801244306188,0.153846153846154,2700000,"Otros","Bajo (<75)"
"N. Schmidt",25,184,89,71,75,2600000,14000,5400000,"Toulouse","Ligue 1","SUB","Germany","Right","Male",0.0050710663524034,0.16,2800000,"Otros","Bajo (<75)"
"A. Touba",25,184,81,71,75,2300000,14000,NA,"Lecce","Serie A","SUB","Algeria","Left","Male",0.0050710663524034,0.16,NA,"Otros","Bajo (<75)"
"M. Roerslev",24,184,67,71,75,2500000,24000,4900000,"Brentford","Premier League","SUB","Denmark","Right","Male",0.00295821007458023,0.166666666666667,2400000,"Otros","Bajo (<75)"
"T. Borevković",26,194,86,71,75,2300000,7000,5000000,"Vitória SC","Liga Portugal","SUB","Croatia","Right","Male",0.0101414083702328,0.153846153846154,2700000,"Otros","Bajo (<75)"
"B. Franjić",23,186,77,71,75,2400000,20000,NA,"Darmstadt 98","Bundesliga","CDM","Croatia","Left","Male",0.00354982250887456,0.173913043478261,NA,"Centrocampista","Bajo (<75)"
"Ruan",24,187,78,71,75,2400000,9000,4300000,"Sassuolo","Serie A","LCB","Brazil","Right","Male",0.00788801244306188,0.166666666666667,1900000,"Defensa","Bajo (<75)"
"T. Horvat",24,176,69,71,75,2700000,10000,4300000,"Sturm Graz","Bundesliga","SUB","Slovenia","Left","Male",0.0070992900709929,0.166666666666667,1600000,"Otros","Bajo (<75)"
"A. Blin",26,184,78,71,74,2200000,10000,4100000,"Lecce","Serie A","SUB","France","Right","Male",0.0070992900709929,0.115384615384615,1900000,"Otros","Bajo (<75)"
"F. Bonazzoli",26,182,79,71,74,2500000,21000,NA,"Hellas Verona","Serie A","SUB","Italy","Left","Male",0.00338079139088615,0.115384615384615,NA,"Otros","Bajo (<75)"
"B. Innocent",27,178,80,71,74,2200000,14000,4600000,"Lorient","Ligue 1","SUB","Nigeria","Right","Male",0.0050710663524034,0.111111111111111,2400000,"Otros","Bajo (<75)"
"B. Boutobba",24,172,65,71,74,2600000,11000,5400000,"Clermont","Ligue 1","SUB","France","Left","Male",0.00645395873102445,0.125,2800000,"Otros","Bajo (<75)"
"M. Andersen",25,194,82,71,74,2200000,24000,4600000,"Luton Town","Premier League","CB","Denmark","Right","Male",0.00295821007458023,0.12,2400000,"Defensa","Bajo (<75)"
"M. Vlap",26,191,81,71,74,2400000,8000,3800000,"FC Twente","Eredivisie","LW","Netherlands","Right","Male",0.00887389076365454,0.115384615384615,1400000,"Delantero","Bajo (<75)"
"Wiliam Santinho",27,195,91,71,74,1800000,11000,3600000,"Fluminense","Serie A","SUB","Brazil","Right","Male",0.00645395873102445,0.111111111111111,1800000,"Otros","Bajo (<75)"
"C. Mepham",25,190,75,71,74,2200000,24000,4300000,"AFC Bournemouth","Premier League","RES","Wales","Right","Male",0.00295821007458023,0.12,2100000,"Otros","Bajo (<75)"
"H. Mendes",25,184,76,71,74,2300000,14000,5000000,"Almería","La Liga","SUB","Guinea Bissau","Right","Male",0.0050710663524034,0.12,2700000,"Otros","Bajo (<75)"
"F. Jensen",25,183,78,71,74,2500000,16000,4700000,"FC Augsburg","Bundesliga","SUB","Finland","Right","Male",0.0044372226735829,0.12,2200000,"Otros","Bajo (<75)"
"C. Operi",26,183,78,71,74,2300000,11000,4800000,"Le Havre","Ligue 1","LWB","Côte d'Ivoire","Left","Male",0.00645395873102445,0.115384615384615,2500000,"Defensa","Bajo (<75)"
"H. Maïga",27,181,80,71,74,2200000,11000,4600000,"Metz","Ligue 1","RCM","Côte d'Ivoire","Right","Male",0.00645395873102445,0.111111111111111,2400000,"Centrocampista","Bajo (<75)"
